artist,title,album,genius_url,yt_url,lyrics_file,mentions_total,has_synced_lrc
matter,Lover out the dark,Unknown,https://genius.com/Matter-lover-out-the-dark-lyrics,,output\matter\lyrics\Lover out the dark.txt,0,False
matter,MANA,Mrk,https://genius.com/Matter-mana-lyrics,,output\matter\lyrics\MANA.txt,1,False
matter,Meduze,Unknown,https://genius.com/Matter-meduze-lyrics,,output\matter\lyrics\Meduze.txt,3,False
matter,Mnogo premal,Mrk,https://genius.com/Matter-mnogo-premal-lyrics,,output\matter\lyrics\Mnogo premal.txt,5,False
matter,Mrki Flow,Amphibios,https://genius.com/Matter-mrki-flow-lyrics,,output\matter\lyrics\Mrki Flow.txt,1,False
matter,Nana,Troglav II,https://genius.com/Matter-nana-lyrics,,output\matter\lyrics\Nana.txt,0,False
matter,Nebotičnik,Mrk,https://genius.com/Matter-neboticnik-lyrics,,output\matter\lyrics\Nebotičnik.txt,0,False
matter,Nevidna stran neba,Haos,https://genius.com/Matter-nevidna-stran-neba-lyrics,,output\matter\lyrics\Nevidna stran neba.txt,0,False
matter,Novi primitivizem,Mrk,https://genius.com/Matter-novi-primitivizem-lyrics,,output\matter\lyrics\Novi primitivizem.txt,0,False
matter,Pejt Sm,Haos,https://genius.com/Matter-pejt-sm-lyrics,,output\matter\lyrics\Pejt Sm.txt,0,False
matter,Pimpin’ Piaf,Amphibios,https://genius.com/Matter-pimpin-piaf-lyrics,,output\matter\lyrics\Pimpin’ Piaf.txt,13,False
matter,Polna luna,Haos,https://genius.com/Matter-polna-luna-lyrics,,output\matter\lyrics\Polna luna.txt,6,False
matter,Polna Pluča,Predjed,https://genius.com/Matter-polna-pluca-lyrics,,output\matter\lyrics\Polna Pluča.txt,4,False
matter,Raveland legende,Mrk,https://genius.com/Matter-raveland-legende-lyrics,,output\matter\lyrics\Raveland legende.txt,1,False
matter,Rdeče rože,Haos,https://genius.com/Matter-rdece-roze-lyrics,,output\matter\lyrics\Rdeče rože.txt,2,False
matter,Safari,Amphibios,https://genius.com/Matter-safari-lyrics,,output\matter\lyrics\Safari.txt,5,False
matter,Satelit,Haos,https://genius.com/Matter-satelit-lyrics,,output\matter\lyrics\Satelit.txt,0,False
matter,Sedimenti,Troglav I,https://genius.com/Matter-sedimenti-lyrics,,output\matter\lyrics\Sedimenti.txt,2,False
matter,Sinovi Moje Madre,Mrk,https://genius.com/Matter-sinovi-moje-madre-lyrics,,output\matter\lyrics\Sinovi Moje Madre.txt,4,False
matter,"Skit, ki bo hit",Amphibios,https://genius.com/Matter-skit-ki-bo-hit-lyrics,,"output\matter\lyrics\Skit, ki bo hit.txt",0,False
matter,Skodelica čaja,Haos,https://genius.com/Matter-skodelica-caja-lyrics,,output\matter\lyrics\Skodelica čaja.txt,2,False
matter,Sophia,Unknown,https://genius.com/Matter-sophia-lyrics,,output\matter\lyrics\Sophia.txt,2,False
matter,Šuma,Mrk,https://genius.com/Matter-suma-lyrics,,output\matter\lyrics\Šuma.txt,6,False
matter,Surogat,Mrk,https://genius.com/Matter-surogat-lyrics,,output\matter\lyrics\Surogat.txt,0,False
matter,The Kid,Unknown,https://genius.com/Matter-the-kid-lyrics,,output\matter\lyrics\The Kid.txt,0,False
matter,Toro,Predjed,https://genius.com/Matter-toro-lyrics,,output\matter\lyrics\Toro.txt,8,False
matter,Tri Sonca,Amphibios,https://genius.com/Matter-tri-sonca-lyrics,,output\matter\lyrics\Tri Sonca.txt,2,False
matter,Tri tri,Haos,https://genius.com/Matter-tri-tri-lyrics,,output\matter\lyrics\Tri tri.txt,1,False
matter,Vanilla,Unknown,https://genius.com/Matter-vanilla-lyrics,,output\matter\lyrics\Vanilla.txt,0,False
matter,Velik Njega,Amphibios,https://genius.com/Matter-velik-njega-lyrics,,output\matter\lyrics\Velik Njega.txt,0,False
matter,V tvojem umu,Troglav III,https://genius.com/Matter-v-tvojem-umu-lyrics,,output\matter\lyrics\V tvojem umu.txt,8,False
matter,Zlato Rumeno,Troglav III,https://genius.com/Matter-zlato-rumeno-lyrics,,output\matter\lyrics\Zlato Rumeno.txt,0,False
matter,Zlato v zobeh,Unknown,https://genius.com/Matter-zlato-v-zobeh-lyrics,,output\matter\lyrics\Zlato v zobeh.txt,0,False
matter,Zonzey,Unknown,https://genius.com/Matter-and-mrfy-zonzey-lyrics,,output\matter\lyrics\Zonzey.txt,4,False
